CatID, ArrRow, ArrCol, PartRow, PartCol, DataFlowID,
507, 8, 128, 2, 8, 0,
508, 8, 128, 2, 8, 1,
509, 8, 128, 2, 8, 2,
510, 16, 64, 2, 8, 0,
511, 16, 64, 2, 8, 1,
512, 16, 64, 2, 8, 2,
513, 32, 32, 2, 8, 0,
514, 32, 32, 2, 8, 1,
515, 32, 32, 2, 8, 2,
516, 64, 16, 2, 8, 0,
517, 64, 16, 2, 8, 1,
518, 64, 16, 2, 8, 2,
519, 128, 8, 2, 8, 0,
520, 128, 8, 2, 8, 1,
521, 128, 8, 2, 8, 2,
522, 256, 4, 2, 8, 0,
523, 256, 4, 2, 8, 1,
524, 256, 4, 2, 8, 2,
525, 4, 256, 4, 4, 0,
526, 4, 256, 4, 4, 1,
527, 4, 256, 4, 4, 2,
528, 8, 128, 4, 4, 0,
529, 8, 128, 4, 4, 1,
530, 8, 128, 4, 4, 2,
531, 16, 64, 4, 4, 0,
532, 16, 64, 4, 4, 1,
533, 16, 64, 4, 4, 2,
534, 32, 32, 4, 4, 0,
535, 32, 32, 4, 4, 1,
536, 32, 32, 4, 4, 2,
537, 64, 16, 4, 4, 0,
538, 64, 16, 4, 4, 1,
539, 64, 16, 4, 4, 2,
540, 128, 8, 4, 4, 0,
541, 128, 8, 4, 4, 1,
542, 128, 8, 4, 4, 2,
543, 256, 4, 4, 4, 0,
544, 256, 4, 4, 4, 1,
545, 256, 4, 4, 4, 2,
546, 4, 256, 8, 2, 0,
547, 4, 256, 8, 2, 1,
548, 4, 256, 8, 2, 2,
549, 8, 128, 8, 2, 0,
550, 8, 128, 8, 2, 1,
551, 8, 128, 8, 2, 2,
552, 16, 64, 8, 2, 0,
553, 16, 64, 8, 2, 1,
554, 16, 64, 8, 2, 2,
555, 32, 32, 8, 2, 0,
556, 32, 32, 8, 2, 1,
557, 32, 32, 8, 2, 2,
558, 64, 16, 8, 2, 0,
559, 64, 16, 8, 2, 1,
560, 64, 16, 8, 2, 2,
561, 128, 8, 8, 2, 0,
562, 128, 8, 8, 2, 1,
563, 128, 8, 8, 2, 2,
564, 256, 4, 8, 2, 0,
565, 256, 4, 8, 2, 1,
566, 256, 4, 8, 2, 2,
567, 4, 256, 16, 1, 0,
568, 4, 256, 16, 1, 1,
569, 4, 256, 16, 1, 2,
570, 8, 128, 16, 1, 0,
571, 8, 128, 16, 1, 1,
572, 8, 128, 16, 1, 2,
573, 16, 64, 16, 1, 0,
574, 16, 64, 16, 1, 1,
575, 16, 64, 16, 1, 2,
576, 32, 32, 16, 1, 0,
577, 32, 32, 16, 1, 1,
578, 32, 32, 16, 1, 2,
579, 64, 16, 16, 1, 0,
580, 64, 16, 16, 1, 1,
581, 64, 16, 16, 1, 2,
582, 128, 8, 16, 1, 0,
583, 128, 8, 16, 1, 1,
584, 128, 8, 16, 1, 2,
585, 256, 4, 16, 1, 0,
586, 256, 4, 16, 1, 1,
587, 256, 4, 16, 1, 2,
588, 4, 512, 1, 8, 0,
589, 4, 512, 1, 8, 1,
590, 4, 512, 1, 8, 2,
591, 8, 256, 1, 8, 0,
592, 8, 256, 1, 8, 1,
593, 8, 256, 1, 8, 2,
594, 16, 128, 1, 8, 0,
595, 16, 128, 1, 8, 1,
596, 16, 128, 1, 8, 2,
597, 32, 64, 1, 8, 0,
598, 32, 64, 1, 8, 1,
599, 32, 64, 1, 8, 2,
600, 64, 32, 1, 8, 0,
601, 64, 32, 1, 8, 1,
602, 64, 32, 1, 8, 2,
603, 128, 16, 1, 8, 0,
604, 128, 16, 1, 8, 1,
605, 128, 16, 1, 8, 2,
606, 256, 8, 1, 8, 0,
607, 256, 8, 1, 8, 1,
608, 256, 8, 1, 8, 2,
609, 512, 4, 1, 8, 0,
610, 512, 4, 1, 8, 1,
611, 512, 4, 1, 8, 2,
612, 4, 512, 2, 4, 0,
613, 4, 512, 2, 4, 1,
614, 4, 512, 2, 4, 2,
615, 8, 256, 2, 4, 0,
616, 8, 256, 2, 4, 1,
617, 8, 256, 2, 4, 2,
618, 16, 128, 2, 4, 0,
619, 16, 128, 2, 4, 1,
620, 16, 128, 2, 4, 2,
621, 32, 64, 2, 4, 0,
622, 32, 64, 2, 4, 1,
623, 32, 64, 2, 4, 2,
624, 64, 32, 2, 4, 0,
625, 64, 32, 2, 4, 1,
626, 64, 32, 2, 4, 2,
627, 128, 16, 2, 4, 0,
628, 128, 16, 2, 4, 1,
629, 128, 16, 2, 4, 2,
630, 256, 8, 2, 4, 0,
631, 256, 8, 2, 4, 1,
632, 256, 8, 2, 4, 2,
633, 512, 4, 2, 4, 0,
634, 512, 4, 2, 4, 1,
635, 512, 4, 2, 4, 2,
636, 4, 512, 4, 2, 0,
637, 4, 512, 4, 2, 1,
638, 4, 512, 4, 2, 2,
639, 8, 256, 4, 2, 0,
640, 8, 256, 4, 2, 1,
641, 8, 256, 4, 2, 2,
642, 16, 128, 4, 2, 0,
